Tru,Turnover,ident
0.3,0.329280013,Sampled Ancestor Model
0.3,0.327160602,Sampled Ancestor Model
0.3,0.329878868,Sampled Ancestor Model
0.3,0.329094195,Sampled Ancestor Model
0.3,0.328754329,Sampled Ancestor Model
0.3,0.32732542,Sampled Ancestor Model
0.3,0.332864436,Sampled Ancestor Model
0.3,0.330316171,Sampled Ancestor Model
0.3,0.315682847,Sampled Ancestor Model
0.3,0.32299329,Sampled Ancestor Model
0.3,0.318512115,Sampled Ancestor Model
0.3,0.325419493,Sampled Ancestor Model
0.3,0.283193832,Sampled Ancestor Model
0.3,0.320330156,Sampled Ancestor Model
0.3,0.328312524,Sampled Ancestor Model
0.3,0.329186573,Sampled Ancestor Model
0.3,0.334624363,Sampled Ancestor Model
0.3,0.327813213,Sampled Ancestor Model
0.3,0.318017765,Sampled Ancestor Model
0.3,0.322207555,Sampled Ancestor Model
0.3,0.319558606,Sampled Ancestor Model
0.3,0.330711498,Sampled Ancestor Model
0.3,0.321648865,Sampled Ancestor Model
0.3,0.332251632,Sampled Ancestor Model
0.3,0.340078823,Sampled Ancestor Model
0.3,0.334624739,Sampled Ancestor Model
0.3,0.331954966,Sampled Ancestor Model
0.3,0.329763828,Sampled Ancestor Model
0.3,0.320316548,Sampled Ancestor Model
0.3,0.32240836,Sampled Ancestor Model
0.3,0.328092633,Sampled Ancestor Model
0.3,0.322626269,Sampled Ancestor Model
0.3,0.323779965,Sampled Ancestor Model
0.3,0.325632519,Sampled Ancestor Model
0.3,0.327876504,Sampled Ancestor Model
0.3,0.343702291,Sampled Ancestor Model
0.3,0.318288778,Sampled Ancestor Model
0.3,0.319262453,Sampled Ancestor Model
0.3,0.332749023,Sampled Ancestor Model
0.3,0.328092633,Sampled Ancestor Model
0.3,0.328451739,Sampled Ancestor Model
0.3,0.326822034,Sampled Ancestor Model
0.3,0.443717297,Sampled Ancestor Model
0.3,0.44224381,Sampled Ancestor Model
0.3,0.463809481,Sampled Ancestor Model
0.3,0.424621286,Sampled Ancestor Model
0.3,0.420534713,Sampled Ancestor Model
0.3,0.450446492,Sampled Ancestor Model
0.3,0.431733099,Sampled Ancestor Model
0.3,0.445241056,Sampled Ancestor Model
0.3,0.440462413,Sampled Ancestor Model
0.3,0.445690971,Sampled Ancestor Model
0.3,0.434866261,Sampled Ancestor Model
0.3,0.427005925,Sampled Ancestor Model
0.3,0.431279069,Sampled Ancestor Model
0.3,0.444116441,Sampled Ancestor Model
0.3,0.439365716,Sampled Ancestor Model
0.3,0.435496953,Sampled Ancestor Model
0.3,0.445207426,Sampled Ancestor Model
0.3,0.440565584,Sampled Ancestor Model
0.3,0.433335859,Sampled Ancestor Model
0.3,0.438748102,Sampled Ancestor Model
0.3,0.444201135,Sampled Ancestor Model
0.3,0.443877663,Sampled Ancestor Model
0.3,0.450336095,Sampled Ancestor Model
0.3,0.449818644,Sampled Ancestor Model
0.3,0.432462659,Sampled Ancestor Model
0.3,0.431863844,Sampled Ancestor Model
0.3,0.431940471,Sampled Ancestor Model
0.3,0.435218826,Sampled Ancestor Model
0.3,0.447845604,Sampled Ancestor Model
0.3,0.440494592,Sampled Ancestor Model
0.3,0.43016729,Sampled Ancestor Model
0.3,0.446715774,Sampled Ancestor Model
0.3,0.440204833,Sampled Ancestor Model
0.3,0.447761979,Sampled Ancestor Model
0.3,0.440246737,Sampled Ancestor Model
0.3,0.445730589,Sampled Ancestor Model
0.3,0.43759274,Sampled Ancestor Model
0.3,0.462650115,Sampled Ancestor Model
0.3,0.449255288,Sampled Ancestor Model
0.3,0.436623565,Sampled Ancestor Model
0.3,0.445840597,Sampled Ancestor Model
0.3,0.44976966,Sampled Ancestor Model
0.3,0.438354871,Sampled Ancestor Model
0.3,0.43733705,Sampled Ancestor Model
0.3,0.439557453,Sampled Ancestor Model
0.3,0.430217058,Sampled Ancestor Model
0.3,0.440496319,Sampled Ancestor Model
0.3,0.430143362,Sampled Ancestor Model
0.3,0.447798602,Sampled Ancestor Model
0.3,0.549497798,Sampled Ancestor Model
0.3,0.542498343,Sampled Ancestor Model
0.3,0.549462969,Sampled Ancestor Model
0.3,0.549198338,Sampled Ancestor Model
0.3,0.548643311,Sampled Ancestor Model
0.3,0.536292548,Sampled Ancestor Model
0.3,0.543498257,Sampled Ancestor Model
0.3,0.550243176,Sampled Ancestor Model
0.3,0.536756042,Sampled Ancestor Model
0.3,0.547766587,Sampled Ancestor Model
0.3,0.53800584,Sampled Ancestor Model
0.3,0.546353324,Sampled Ancestor Model
0.3,0.549139824,Sampled Ancestor Model
0.3,0.562167986,Sampled Ancestor Model
0.3,0.544149153,Sampled Ancestor Model
0.3,0.542432817,Sampled Ancestor Model
0.3,0.532287806,Sampled Ancestor Model
0.3,0.487144581,Sampled Ancestor Model
0.3,0.548141506,Sampled Ancestor Model
0.3,0.541918405,Sampled Ancestor Model
0.3,0.540682615,Sampled Ancestor Model
0.3,0.536047711,Sampled Ancestor Model
0.3,0.541432164,Sampled Ancestor Model
0.3,0.544256144,Sampled Ancestor Model
0.3,0.542913303,Sampled Ancestor Model
0.3,0.543901645,Sampled Ancestor Model
0.3,0.546994014,Sampled Ancestor Model
0.3,0.538748515,Sampled Ancestor Model
0.3,0.543317187,Sampled Ancestor Model
0.3,0.541719749,Sampled Ancestor Model
0.3,0.54475722,Sampled Ancestor Model
0.3,0.554644221,Sampled Ancestor Model
0.3,0.540428997,Sampled Ancestor Model
0.3,0.53149404,Sampled Ancestor Model
0.3,0.547684544,Sampled Ancestor Model
