Tru,Turnover,ident
0.45,0.46872337,Sampled Ancestor Model
0.45,0.478431923,Sampled Ancestor Model
0.45,0.468033225,Sampled Ancestor Model
0.45,0.486598055,Sampled Ancestor Model
0.45,0.462379079,Sampled Ancestor Model
0.45,0.479497955,Sampled Ancestor Model
0.45,0.46189431,Sampled Ancestor Model
0.45,0.483899589,Sampled Ancestor Model
0.45,0.478429785,Sampled Ancestor Model
0.45,0.475204558,Sampled Ancestor Model
0.45,0.477209846,Sampled Ancestor Model
0.45,0.47579952,Sampled Ancestor Model
0.45,0.481258766,Sampled Ancestor Model
0.45,0.465121836,Sampled Ancestor Model
0.45,0.471356269,Sampled Ancestor Model
0.45,0.471605902,Sampled Ancestor Model
0.45,0.473622286,Sampled Ancestor Model
0.45,0.471981505,Sampled Ancestor Model
0.45,0.478164044,Sampled Ancestor Model
0.45,0.472580808,Sampled Ancestor Model
0.45,0.463528316,Sampled Ancestor Model
0.45,0.55474085,Sampled Ancestor Model
0.45,0.547914461,Sampled Ancestor Model
0.45,0.544533098,Sampled Ancestor Model
0.45,0.562120483,Sampled Ancestor Model
0.45,0.570478641,Sampled Ancestor Model
0.45,0.552877874,Sampled Ancestor Model
0.45,0.564539753,Sampled Ancestor Model
0.45,0.54896761,Sampled Ancestor Model
0.45,0.584048118,Sampled Ancestor Model
0.45,0.562839438,Sampled Ancestor Model
0.45,0.545572581,Sampled Ancestor Model
0.45,0.558873624,Sampled Ancestor Model
0.45,0.554031278,Sampled Ancestor Model
0.45,0.566409385,Sampled Ancestor Model
0.45,0.559940422,Sampled Ancestor Model
0.45,0.565835958,Sampled Ancestor Model
0.45,0.558078611,Sampled Ancestor Model
0.45,0.569472616,Sampled Ancestor Model
0.45,0.556981579,Sampled Ancestor Model
0.45,0.546495572,Sampled Ancestor Model
0.45,0.569898385,Sampled Ancestor Model
0.45,0.559259689,Sampled Ancestor Model
0.45,0.562504489,Sampled Ancestor Model
0.45,0.556805718,Sampled Ancestor Model
0.45,0.555160899,Sampled Ancestor Model
0.45,0.566914037,Sampled Ancestor Model
0.45,0.546332322,Sampled Ancestor Model
0.45,0.585115194,Sampled Ancestor Model
0.45,0.55478737,Sampled Ancestor Model
0.45,0.56807055,Sampled Ancestor Model
0.45,0.557013936,Sampled Ancestor Model
0.45,0.582571664,Sampled Ancestor Model
0.45,0.54211484,Sampled Ancestor Model
0.45,0.566912505,Sampled Ancestor Model
0.45,0.559717636,Sampled Ancestor Model
0.45,0.574490514,Sampled Ancestor Model
0.45,0.563388685,Sampled Ancestor Model
0.45,0.551833465,Sampled Ancestor Model
