,Ind,Tru,No Sampled Ancestors Turnover,ident
22,0,4.28,6.74200452464,Non Sampled Ancestor Model
23,0,4.28,6.47591969014,Non Sampled Ancestor Model
24,0,4.28,5.57889639853,Non Sampled Ancestor Model
25,0,4.28,5.48563814054,Non Sampled Ancestor Model
26,0,4.28,6.82563177267,Non Sampled Ancestor Model
27,0,4.28,5.51972638927,Non Sampled Ancestor Model
28,0,4.28,5.69562643346,Non Sampled Ancestor Model
29,0,4.28,5.36849097584,Non Sampled Ancestor Model
30,0,4.28,6.58280102807,Non Sampled Ancestor Model
31,0,4.28,5.62109070871,Non Sampled Ancestor Model
32,0,4.28,6.41484697226,Non Sampled Ancestor Model
33,0,4.28,6.46677125857,Non Sampled Ancestor Model
34,0,4.28,6.74234955908,Non Sampled Ancestor Model
35,0,4.28,5.51339287356,Non Sampled Ancestor Model
36,0,4.28,6.51082770569,Non Sampled Ancestor Model
37,0,4.28,6.59301438751,Non Sampled Ancestor Model
38,0,4.28,6.18868703392,Non Sampled Ancestor Model
39,0,4.28,5.37007723707,Non Sampled Ancestor Model
40,0,4.28,6.41472920049,Non Sampled Ancestor Model
41,0,4.28,6.49736115548,Non Sampled Ancestor Model
42,0,4.28,6.61793219802,Non Sampled Ancestor Model
43,0,4.28,6.60443266728,Non Sampled Ancestor Model
44,0,4.28,5.38461459543,Non Sampled Ancestor Model
45,0,4.28,6.57533661609,Non Sampled Ancestor Model
46,0,4.28,6.70957295715,Non Sampled Ancestor Model
47,0,4.28,6.56711374928,Non Sampled Ancestor Model
48,0,4.28,6.21351468832,Non Sampled Ancestor Model
49,0,4.28,5.56653687559,Non Sampled Ancestor Model
0,0,8.07,9.04985700256,Non Sampled Ancestor Model
1,0,8.07,10.5047612173,Non Sampled Ancestor Model
2,0,8.07,19.7563260892,Non Sampled Ancestor Model
3,0,8.07,9.77062512438,Non Sampled Ancestor Model
4,0,8.07,11.6837775763,Non Sampled Ancestor Model
5,0,8.07,8.96344437538,Non Sampled Ancestor Model
6,0,8.07,13.9000526962,Non Sampled Ancestor Model
7,0,8.07,13.0005732878,Non Sampled Ancestor Model
8,0,8.07,20.6742752647,Non Sampled Ancestor Model
9,0,8.07,12.6057094257,Non Sampled Ancestor Model
10,0,8.07,10.164986315,Non Sampled Ancestor Model
11,0,8.07,13.9560473021,Non Sampled Ancestor Model
12,0,8.07,9.73917054209,Non Sampled Ancestor Model
13,0,8.07,13.2099452747,Non Sampled Ancestor Model
14,0,8.07,11.9078751316,Non Sampled Ancestor Model
15,0,8.07,10.803763863,Non Sampled Ancestor Model
16,0,8.07,9.02439247146,Non Sampled Ancestor Model
17,0,8.07,13.2799497424,Non Sampled Ancestor Model
18,0,8.07,9.64973511587,Non Sampled Ancestor Model
19,0,8.07,8.92252086293,Non Sampled Ancestor Model
20,0,8.07,12.5859898181,Non Sampled Ancestor Model
21,0,8.07,10.3382583167,Non Sampled Ancestor Model
22,0,8.07,9.58233863713,Non Sampled Ancestor Model
23,0,8.07,12.4925642459,Non Sampled Ancestor Model
24,0,8.07,9.07798983344,Non Sampled Ancestor Model
25,0,8.07,13.3135622365,Non Sampled Ancestor Model
26,0,8.07,12.8586196839,Non Sampled Ancestor Model
27,0,8.07,8.90957968834,Non Sampled Ancestor Model
28,0,8.07,14.9372427996,Non Sampled Ancestor Model
29,0,8.07,12.9508732848,Non Sampled Ancestor Model
30,0,8.07,12.7512906517,Non Sampled Ancestor Model
31,0,8.07,13.2185092078,Non Sampled Ancestor Model
32,0,8.07,14.5634300787,Non Sampled Ancestor Model
33,0,8.07,11.3643161596,Non Sampled Ancestor Model
34,0,8.07,9.35375744736,Non Sampled Ancestor Model
35,0,8.07,9.86985547644,Non Sampled Ancestor Model
36,0,8.07,9.75438380822,Non Sampled Ancestor Model
37,0,8.07,12.8240757176,Non Sampled Ancestor Model
38,0,8.07,10.8277382305,Non Sampled Ancestor Model
39,0,8.07,11.9277958765,Non Sampled Ancestor Model
40,0,8.07,11.4408628943,Non Sampled Ancestor Model
41,0,8.07,12.408239109,Non Sampled Ancestor Model
42,0,8.07,9.1462847169,Non Sampled Ancestor Model
43,0,8.07,15.0331519828,Non Sampled Ancestor Model
44,0,8.07,12.4245961354,Non Sampled Ancestor Model
0,0,17.751,18.3053658149,Non Sampled Ancestor Model
1,0,17.751,18.1106631479,Non Sampled Ancestor Model
2,0,17.751,20.4769520897,Non Sampled Ancestor Model
3,0,17.751,19.635217342,Non Sampled Ancestor Model
4,0,17.751,19.9913440398,Non Sampled Ancestor Model
5,0,17.751,17.7486777611,Non Sampled Ancestor Model
6,0,17.751,19.331532558,Non Sampled Ancestor Model
7,0,17.751,18.3005428907,Non Sampled Ancestor Model
8,0,17.751,19.7157201911,Non Sampled Ancestor Model
9,0,17.751,18.7411280939,Non Sampled Ancestor Model
10,0,17.751,18.6117242392,Non Sampled Ancestor Model
11,0,17.751,18.7828130736,Non Sampled Ancestor Model
12,0,17.751,18.6262695935,Non Sampled Ancestor Model
13,0,17.751,17.7429055743,Non Sampled Ancestor Model
14,0,17.751,20.011605275,Non Sampled Ancestor Model
15,0,17.751,18.2074983532,Non Sampled Ancestor Model
16,0,17.751,19.5989051947,Non Sampled Ancestor Model
17,0,17.751,18.7193422942,Non Sampled Ancestor Model
18,0,17.751,19.5699998292,Non Sampled Ancestor Model
19,0,17.751,18.4497364029,Non Sampled Ancestor Model
20,0,17.751,19.6013878642,Non Sampled Ancestor Model
21,0,17.751,20.1610170669,Non Sampled Ancestor Model
22,0,17.751,18.1361010019,Non Sampled Ancestor Model
23,0,17.751,18.0629167592,Non Sampled Ancestor Model
24,0,17.751,18.4051036148,Non Sampled Ancestor Model
25,0,17.751,17.8125739891,Non Sampled Ancestor Model
26,0,17.751,22.8038795174,Non Sampled Ancestor Model
27,0,17.751,19.1487248769,Non Sampled Ancestor Model
28,0,17.751,19.0242592839,Non Sampled Ancestor Model
29,0,17.751,18.4196482817,Non Sampled Ancestor Model
30,0,17.751,18.5459186904,Non Sampled Ancestor Model
31,0,17.751,18.0137819822,Non Sampled Ancestor Model
32,0,17.751,19.1354661084,Non Sampled Ancestor Model
33,0,17.751,19.6736408444,Non Sampled Ancestor Model
34,0,17.751,19.3124369383,Non Sampled Ancestor Model
35,0,17.751,19.5396999067,Non Sampled Ancestor Model
36,0,17.751,18.4254778041,Non Sampled Ancestor Model
37,0,17.751,18.9411154169,Non Sampled Ancestor Model
38,0,17.751,18.8350285892,Non Sampled Ancestor Model
39,0,17.751,20.3885526079,Non Sampled Ancestor Model
40,0,17.751,20.8920194556,Non Sampled Ancestor Model
41,0,17.751,18.8446815331,Non Sampled Ancestor Model
42,0,17.751,18.2792161065,Non Sampled Ancestor Model
43,0,17.751,18.4979861091,Non Sampled Ancestor Model
44,0,17.751,24.6566359407,Non Sampled Ancestor Model
45,0,17.751,20.9963939967,Non Sampled Ancestor Model
46,0,17.751,21.9997159381,Non Sampled Ancestor Model
47,0,17.751,19.0592887831,Non Sampled Ancestor Model
48,0,17.751,18.5339389076,Non Sampled Ancestor Model
0,0,4.64,10.2123325101,Non Sampled Ancestor Model
1,0,4.64,5.77067253465,Non Sampled Ancestor Model
2,0,4.64,11.8009157343,Non Sampled Ancestor Model
3,0,4.64,11.3472410615,Non Sampled Ancestor Model
4,0,4.64,11.0726821998,Non Sampled Ancestor Model
5,0,4.64,5.80058838807,Non Sampled Ancestor Model
6,0,4.64,5.61665227642,Non Sampled Ancestor Model
7,0,4.64,5.7422603437,Non Sampled Ancestor Model
8,0,4.64,11.7446130543,Non Sampled Ancestor Model
9,0,4.64,5.89523639868,Non Sampled Ancestor Model
10,0,4.64,5.66733012149,Non Sampled Ancestor Model
11,0,4.64,5.842427842,Non Sampled Ancestor Model
12,0,4.64,6.47052835917,Non Sampled Ancestor Model
13,0,4.64,6.0883981161,Non Sampled Ancestor Model
14,0,4.64,10.5595949271,Non Sampled Ancestor Model
15,0,4.64,11.4181748381,Non Sampled Ancestor Model
16,0,4.64,10.7874673745,Non Sampled Ancestor Model
17,0,4.64,11.2092454962,Non Sampled Ancestor Model
18,0,4.64,5.91614923285,Non Sampled Ancestor Model
19,0,4.64,9.78265031486,Non Sampled Ancestor Model
20,0,4.64,5.99341565608,Non Sampled Ancestor Model
21,0,4.64,10.7970505219,Non Sampled Ancestor Model
22,0,4.64,5.83033824783,Non Sampled Ancestor Model
23,0,4.64,5.56383285234,Non Sampled Ancestor Model
24,0,4.64,5.71472507453,Non Sampled Ancestor Model
25,0,4.64,11.3171723133,Non Sampled Ancestor Model
26,0,4.64,5.69037664247,Non Sampled Ancestor Model
27,0,4.64,10.1715148417,Non Sampled Ancestor Model
28,0,4.64,10.6828914173,Non Sampled Ancestor Model
29,0,4.64,5.72841744853,Non Sampled Ancestor Model
30,0,4.64,5.86865437262,Non Sampled Ancestor Model
31,0,4.64,10.2135863292,Non Sampled Ancestor Model
32,0,4.64,5.66858836819,Non Sampled Ancestor Model
33,0,4.64,10.6525069449,Non Sampled Ancestor Model
34,0,4.64,10.8556873988,Non Sampled Ancestor Model
35,0,4.64,10.1515942175,Non Sampled Ancestor Model
36,0,4.64,10.9014521536,Non Sampled Ancestor Model
37,0,4.64,5.62772271707,Non Sampled Ancestor Model
38,0,4.64,5.8780130186,Non Sampled Ancestor Model
39,0,4.64,9.97154850088,Non Sampled Ancestor Model
40,0,4.64,6.11033403092,Non Sampled Ancestor Model
41,0,4.64,6.09854436587,Non Sampled Ancestor Model
42,0,4.64,6.2349040387,Non Sampled Ancestor Model
43,0,4.64,10.222789512,Non Sampled Ancestor Model
44,0,4.64,5.80218084926,Non Sampled Ancestor Model
45,0,4.64,11.5416154767,Non Sampled Ancestor Model
46,0,4.64,5.99537088802,Non Sampled Ancestor Model
47,0,4.64,10.1867893591,Non Sampled Ancestor Model
48,0,4.64,5.70620447216,Non Sampled Ancestor Model
49,0,4.64,10.9799074171,Non Sampled Ancestor Model
0,0,5.773,12.7468977781,Non Sampled Ancestor Model
1,0,5.773,7.93821326793,Non Sampled Ancestor Model
2,0,5.773,12.3219997669,Non Sampled Ancestor Model
3,0,5.773,10.2016841172,Non Sampled Ancestor Model
4,0,5.773,7.81669595619,Non Sampled Ancestor Model
5,0,5.773,7.93497110276,Non Sampled Ancestor Model
6,0,5.773,13.6332468566,Non Sampled Ancestor Model
7,0,5.773,7.87837340548,Non Sampled Ancestor Model
8,0,5.773,12.0962295495,Non Sampled Ancestor Model
9,0,5.773,12.7412984301,Non Sampled Ancestor Model
10,0,5.773,7.98858825396,Non Sampled Ancestor Model
11,0,5.773,13.6387099364,Non Sampled Ancestor Model
12,0,5.773,12.6226314306,Non Sampled Ancestor Model
13,0,5.773,13.7655233728,Non Sampled Ancestor Model
14,0,5.773,14.1634973478,Non Sampled Ancestor Model
15,0,5.773,13.3124090185,Non Sampled Ancestor Model
16,0,5.773,7.86326059313,Non Sampled Ancestor Model
17,0,5.773,7.98619383726,Non Sampled Ancestor Model
18,0,5.773,13.2782725191,Non Sampled Ancestor Model
19,0,5.773,12.717262042,Non Sampled Ancestor Model
20,0,5.773,13.1586321054,Non Sampled Ancestor Model
21,0,5.773,13.5418499118,Non Sampled Ancestor Model
22,0,5.773,12.6355926807,Non Sampled Ancestor Model
23,0,5.773,10.75875565,Non Sampled Ancestor Model
24,0,5.773,7.95118985643,Non Sampled Ancestor Model
25,0,5.773,13.0066314337,Non Sampled Ancestor Model
26,0,5.773,7.93945912579,Non Sampled Ancestor Model
27,0,5.773,10.4256246044,Non Sampled Ancestor Model
28,0,5.773,7.77974720567,Non Sampled Ancestor Model
29,0,5.773,11.1270240325,Non Sampled Ancestor Model
30,0,5.773,13.0573072183,Non Sampled Ancestor Model
31,0,5.773,12.5739967303,Non Sampled Ancestor Model
32,0,5.773,12.3126739173,Non Sampled Ancestor Model
33,0,5.773,13.2473983514,Non Sampled Ancestor Model
